countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
ERI,0,0,533,0,1707,0,0,659,33,0,1512,7,0,0,0,1,163,0,0,0,0,0,4,0,0,0,7,0,1523,482,0,2,0,0,0,994,23,2,0,0,0,0,3,3,2523,9,34,0,97,0,20,0,0,3,0,12052,8,0,85,0,0,3356,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,21,0,236,0,51,3463,0,43,0,0,66,0,0,0,1,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1545,0,0,0,8,0,0,12,0,0,0,0,146,267,0,38,0,0,0,0,0,0,2,0,0,321,0,0,0,208,0,0,23,1751,6071,321585,0,0,0,0,0,0,0,2676,0,0,0,0,1255,0,0,54,0,0,0,0,0,0,0,0,0,48,176,0,0,6591,0,0,9,0,0,0,0,8339,1430,3,0,382856
ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575
ESP,2,0,588,0,0,11,0,100,415,0,275,1846,0,0,0,143,0,1,11,0,1,2,248,0,0,0,5,7,747,7903,0,45,0,0,0,627,6,2,0,6,0,0,11,24,15025,0,390,105,10,65,0,0,0,0,0,0,93,0,35005,0,0,5225,0,0,3141,0,0,0,4170,114,0,0,2,0,2,198,1,0,29,269,0,0,1079,0,0,11,283,540,0,83,88,0,3,0,3,7,0,0,19,1185,4,0,0,0,0,337,1,15,0,0,1,0,3,0,0,7,7,0,0,0,12,0,24,0,0,0,0,2,0,0,0,1275,126,9,37,0,0,9,0,9,0,20,4,0,3080,4,0,1,0,0,20,24,25,0,4,0,30,0,2,0,0,3,329,0,6,10,113,513,0,38,0,0,9,0,0,0,0,0,0,79,1,97,0,0,1933,0,0,21,0,2,0,0,0,418,0,0,88835
EST,0,2,0,1,0,104,0,465,505,74,0,230,0,0,0,52,0,0,1,3384,0,0,17,0,0,0,0,0,1706,221,0,36,7,0,0,0,13,8,0,1,1,0,70,514,41251,0,760,2,1,6,0,0,0,458,0,0,34775,0,510,0,0,732,0,1,21,0,0,0,0,341,0,0,0,0,0,0,0,0,0,371,0,0,2052,1,1,51,1867,912,0,7,36,465,0,27,0,20,0,0,4,0,6,0,0,0,173,78,5124,0,0,121,0,0,12,1,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,605,963,0,88,0,0,5,5,0,0,874,0,0,382,1,0,0,0,0,4,45938,0,0,0,0,0,0,0,0,0,53,0,0,0,173,28,5171,0,0,0,0,0,0,618,0,0,0,0,157,0,1,5342,0,5227,381,0,22,0,0,0,0,0,119,0,0,163767
ETH,0,0,0,0,8301,6,0,10036,1025,0,39,462,0,0,1,59,834,0,0,0,0,4,11,0,0,0,0,8,18986,4525,0,6,0,0,0,423,3,9,0,0,0,7,67,125,3721,23479,7865,2,9783,6,6042,3033,0,2669,0,0,4399,0,7146,0,0,43054,0,16,0,0,0,0,0,2061,0,0,0,0,0,0,0,0,0,356,0,0,560,0,498,54,67626,29560,0,39,0,0,118628,0,0,0,1464,0,40,0,30863,3,0,0,3,4,1,0,53,0,0,0,3,0,0,36,0,0,0,0,1,0,0,95,191,0,0,0,4,0,8,15766,9767,0,1813,0,138,2,2,1,0,48,0,0,30,0,0,0,1746,0,4,197,404,5827,102892,0,0,0,0,0,66935,0,464888,14,0,25,11,16239,47,491,13574,0,34,0,0,0,0,0,18,67,1568,69854,0,0,156861,0,0,25,0,0,0,0,23471,11579,0,0,1372641
FIN,0,0,1,2,0,5,0,3,436,18,0,2203,0,0,350,123,0,0,0,1254,0,17,126,0,0,0,1,0,206,1070,0,34,4,1,0,0,2,14,0,2,5,0,213,464,4741,0,642,16,70,50,33,0,0,6769,1711,0,0,0,450,0,0,4368,0,0,9,0,0,0,0,4,0,0,0,0,0,4,3,0,0,532,0,0,680,0,0,61,13,1792,1,0,9,1132,0,0,3,0,0,0,0,10,0,0,0,0,99,448,103,0,0,11,0,0,200,0,0,20,0,1,0,0,0,0,0,0,0,0,54,0,0,0,0,1014,1890,0,126,0,0,11,0,195,0,150,35,0,185,0,0,0,0,0,120,473,25,0,0,0,0,0,0,0,0,0,0,0,0,50,18,25681,0,0,0,0,13,0,0,0,0,1,0,467,0,1,1797,0,1372,0,0,17,0,1,0,0,0,168,0,0,64403
FJI,0,4,0,0,1,0,0,58688,17,0,0,0,0,0,79,4,0,0,0,0,0,2,0,0,19,0,0,0,26164,81,5,13,1,0,0,0,0,1,0,0,0,0,6,4,9,0,29,0,0,1,0,0,0,8,0,0,10,0,114,0,0,71,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,3,21,33,0,0,2,1,73,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,47,1,45249,0,94,1,0,40,66,16,0,0,0,0,0,26,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,1,471,0,0,2,0,0,0,0,41669,0,0,0,0,0,211,152,0,57,0,0,173757
FRA,14,2048,9167,46,4474,731,0,14516,6760,3,2515,133051,5169,17603,33,1764,553,129,3897,26,3,242,3003,134,9,26,258,8409,36944,101184,2382,2107,344,19974,4846,36617,5663,970,251,243,282,0,2448,8991,129781,133,6807,1342,1058,1792,388,165,338,340041,63,33,2726,11,0,0,7722,135566,0,238,18173,5965,1540,279,5170,5175,0,26,5357,0,25,859,54,1070,342,6475,246,0,19097,9907,113,662,33469,244519,151,288,2413,104,40,0,7530,1118,510,2,2663,1526,504,53,0,0,608,40287,667,7,0,3,4561,0,5457,6,4916,434,2,86,35,65,913,2891,830,22,356,6666,99,10514,2533,2314,0,18547,5040,69,5800,190,192,311,53,726,0,17089,874,19,83305,96,78,3135,1140,12739,9293,2169,8500,46,3954,3345,179,188,84,5,0,4737,3142,99,1247,5349,1399,6726,18,82,2433,7857,51416,0,0,15,0,49,510,9361,233,1075,7,78,65562,7,19,1131,1,118,184,5,722,21672,540,0,1888690
FSM,0,0,0,0,21,8,0,245,5,0,0,2,0,0,30,0,2,0,0,0,0,1,8,0,10,0,0,0,247,7,0,6,24,0,0,0,0,11,0,0,3,0,3,2,23,0,3,3,0,11,0,0,0,19,0,0,2,0,17,0,0,49,0,0,0,0,0,0,0,0,0,0,0,7439,0,137,3,0,1,4,4,0,6,0,0,0,22,50,2,1,60,0,0,0,1,43,2,0,1,2,0,0,0,0,0,0,0,10,0,0,0,0,329,0,0,0,3,0,0,0,0,0,4,0,8,0,0,0,0,0,0,7,4,2,86,0,0,4,0,34,0,5,54,2,2,0,0,0,5,0,1,39,0,27,0,0,23,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,9,0,0,0,0,1,0,4,0,1,0,0,25783,0,0,3,0,11,0,1,0,10,0,0,35027
GAB,0,0,284,0,18,0,0,120,32,1,1330,1028,397,9,0,21,2,0,0,0,0,9,72,0,0,0,0,389,1190,310,0,6,0,143,138,1452,2845,2,0,11,1,0,2,7,1079,0,41,0,2,7,7,1,0,1708,0,0,25,0,25215,0,0,9,0,0,1401,0,0,0,55440,12,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,2,89,576,0,1,2,56,12,0,0,0,1,0,0,9,0,0,0,0,0,7,0,0,0,0,31,0,7,0,979,0,0,0,0,0,167,0,3,0,0,17,0,34,96,0,0,118,22,0,13,0,0,0,0,2,0,36,2,0,858,0,0,0,4,34,9,71,326,0,0,0,0,0,1,0,0,1,1239,1,2,3,2,58,2,0,738,3303,0,0,0,0,0,0,1,25,445,382,0,0,448,3,0,3,0,0,1,0,0,924,0,0,105960
GBR,23,9590,6075,1,5815,142,0,192813,7875,0,5652,24081,252,1248,6963,4129,971,94,161,312,53,369,2257,2712,181,14,3671,58,104737,31862,41638,7051,3826,3058,0,8520,59,1029,0,50,233,1,49978,9238,97931,0,13341,461,1195,2449,773,123,0,362600,60,0,4733,188,33130,0,109,0,0,1176,885,134,0,0,2,2058,2,29,0,0,453,7170,84,295,24,8549,3137,941,168653,6645,96,881,24397,49080,2582,347,4498,4,692,0,179,1760,0,0,197,1949,2,653,0,0,4239,5555,2306,57,0,51,105,0,7503,1,100,10239,0,0,10,27,3,44,327,1211,1232,0,192,0,1,34,3,25726,8123,0,86883,0,0,1064,43,19000,9,51952,1963,243,16540,117,0,23,1830,0,2114,2112,15509,547,3830,1,2008,0,591,3,0,386,52383,0,2,6397,1141,16319,4,20,1107,7,5280,2,2,0,0,1165,0,17561,3760,4034,3,73,169733,46,445,787,0,1078,29,1,16,255890,435,4325,2157341
GEO,0,39,0,27,0,280,80202,1645,5899,7843,0,3059,0,0,3,2119,0,2,14,19105,0,15,124,0,0,0,3,1,2989,2011,0,40,105,0,0,0,76,38,0,37,20,5,20022,6058,117283,0,666,51,84,79,25,0,0,17955,2174,0,2677,0,10719,0,0,2919,0,5,80,0,0,0,0,54825,0,0,0,0,0,35,1,27,3,1456,1,3,1846,197,34,100,38800,18316,0,74,209,15712,0,2580,4,121,0,0,44,7,24,0,0,0,1271,37,4541,2,0,3574,6,0,178,11,6,83,1,13,0,0,4,0,4,0,0,0,0,0,0,0,1,2478,1306,2,402,0,0,62,4,19,0,3093,2,7,2779,9,0,0,0,0,863,738758,3,0,1,1,5,0,6,0,0,257,0,0,0,620,150,1978,0,0,0,2,11,83,6273,0,0,0,0,13525,1,20,122209,0,29765,19193,0,46,0,1,0,0,0,546,0,0,1395129
GHA,0,0,1,0,0,0,0,2437,1114,0,5,2164,5424,508,1,8,0,14,0,0,0,2,46,0,0,0,0,1,11120,1312,0,3,0,3430,0,89,4,6,0,14,0,0,51,130,10671,0,1095,0,95,38,92,0,0,11568,0,0,757,0,2761,0,1371,45692,0,0,160,0,0,0,0,760,0,0,0,0,0,0,0,0,0,101,0,0,419,0,0,34,6,23409,0,1,552,3,0,0,0,0,0,0,0,10590,96,14,0,8,3,3,0,0,0,0,0,0,0,0,26,7,0,0,0,0,187,0,0,0,0,0,0,0,154,40905,0,5940,870,0,237,0,0,7,1,17,0,23,0,0,145,0,0,0,0,0,0,205,645,0,2,34,0,0,1056,0,0,0,23,4,0,11,17,1208,0,0,4,49006,0,0,0,0,0,0,0,100,0,2,2,0,84542,0,0,15,0,0,0,0,0,3999,19,0,327596
GIN,0,0,146,0,29,3,0,4062,388,0,2,1849,540,13,59,27,3,0,0,11,0,11,107,0,1,0,2,63,4337,995,2,12,22,11349,37,0,259,26,1,506,2,3,11,124,3473,0,256,16,30,60,66,1,993,10857,3,0,153,0,19457,0,1546,11151,0,630,0,8,6561,2764,49,74,0,0,8,0,0,10,1,1,2,95,2,0,208,52,0,20,161,4398,1,2,35,96,0,0,0,15,2,0,0,407230,57,0,0,0,5,35,3,0,1,1,40,0,137,0,12,6,0,0,0,0,3597,4,5,0,0,20,0,59,134,4231,1,4599,701,0,44,0,0,9,0,9,0,113,31,0,3687,4,2,3,7,49,28,141,5,3,0,8606,5,0,488102,0,0,3,1,2,7,16,18,905,11,1,4,1031,2,0,0,0,0,1,1,164,1,3,66,0,34373,0,0,31,0,0,2,0,0,442,0,0,1047070
GLP,39,0,1,0,147,16,0,492,38,0,7,266,18,0,11,10,17,168,0,0,0,35,0,4,0,0,0,56,1552,264,17,13,1,0,90,0,133,149,4,2,3,5,11,14,270,0,29,903,14,361,10,5,10,1501,0,0,24,0,216,0,0,102,0,2,0,0,0,0,163,54,0,5,1574,0,0,0,0,1,22,34,0,0,64,0,0,7,683,1405,1,0,45,0,0,0,0,0,12,0,16,0,0,58,0,0,5,55,5,0,0,0,222,0,9,0,0,1,0,0,2,0,41,3119,24,0,0,110,0,726,0,0,0,57,31,0,74,0,0,79,0,26,0,148,222,0,66,7,0,0,36,264,43,55,5,0,0,0,0,4,0,1,0,7,0,0,208,23,2,50,0,0,7,2,0,0,0,0,0,0,8,221,0,5,0,0,11660,0,0,104,31,0,19,0,0,200,0,0,29158
GMB,0,0,0,0,0,0,0,205,734,0,0,19,1,9,0,18,0,0,0,0,0,0,17,0,0,0,0,2,777,742,0,5,0,1793,0,0,29,1,0,127,0,0,0,17,3860,0,872,0,0,57,10,0,45,24121,0,0,641,0,2404,0,79,16543,0,46,28526,0,0,1682,0,65,0,0,0,0,0,0,0,0,0,23,0,0,136,0,1,11,0,1500,0,0,0,0,0,0,0,0,0,0,0,3650,1,0,0,0,0,0,1,0,0,0,0,0,0,0,543,1,0,0,0,0,256,0,0,0,0,0,0,0,95,4754,0,681,1275,0,29,0,0,1,1,0,0,11,0,0,516,0,0,0,0,0,4,33,0,0,0,2598,0,0,8476,0,0,0,0,0,0,1,11,4798,0,0,0,7,0,0,0,0,0,0,0,21,0,0,0,0,11323,0,0,0,0,0,0,0,0,1,0,0,124206
GNB,0,0,33,0,0,0,0,8,53,0,0,10,0,0,0,7,0,0,0,0,0,0,856,0,0,0,0,52,82,258,0,3,0,306,1,0,1,8,0,5360,0,3,0,20,4,0,51,0,0,11,52,0,1621,6837,0,0,8,0,2794,0,0,33,0,0,7680,0,3014,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,1,4,585,0,0,0,0,0,0,0,1,0,0,0,5831,87,0,0,0,0,14,0,0,0,0,1,0,23,0,0,0,0,0,0,0,1789,0,0,0,0,0,0,1,0,2547,0,206,18,0,0,0,0,4,1,0,0,1,7,0,35562,0,0,0,0,1,1,65,0,0,0,6348,0,0,446,0,0,0,0,0,0,2,3,103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,0,0,3,0,0,0,0,0,49,0,0,82989
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,7,225,33,4,225,7,48,1299,1212,9,29,585,13,47,210,632,31,3,152,242,3,32,139,15,4,2,33,34,757,1652,88,83,285,67,25,520,33,96,1,4,45,0,11859,608,10399,0,645,67,98,137,136,3,129,4834,12,40,220,1,2186,0,11,5283,0,12,56,4,0,0,45,0,1,5,2,0,10,237,30,107,16,848,44,2,635,957,99,52,5321,12495,47,36,172,919,3,5,26,334,7,0,1017,195,164,6,0,0,56,134,393,0,0,13,57,0,3298,597,4,259,0,2,8,1,8,1,8,16,10,27,12,82,1,12,0,1412,411,1,308,1,0,47,1,237,0,994,770,14,404,14,123,0,62,61,852,9995,337,53,621,1,121,0,88,1,0,140,281,0,6,598,100,753,1,6,25,11,163,0,6054,0,0,32,6,4817,15,103,972,8,4337,33,5,43,0,45,2,1,42,1244,0,1,111280
GRD,361,0,0,0,0,1,0,59,12,0,0,0,0,0,0,0,0,15,0,0,0,1,28,650,0,0,0,0,7599,31,0,3,0,0,0,0,0,6,0,0,2,22,0,7,0,0,8,7,0,14,0,0,0,30,0,0,1,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,7,0,0,22,0,0,0,0,38,210,1,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,2,0,10,0,0,19,1,0,0,9,0,0,7,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,12430,0,0,56,25,0,0,0,0,0,0,0,22641
GTM,8,0,0,0,2,264,0,2438,459,0,0,32,1,0,770,13,0,28,0,0,18223,269,529,2,0,0,1,3,28200,1235,2,519,7,0,4,0,2,792,0,1,2271,38,4,36,1471,0,341,876,13,832,6,0,0,9496,0,0,93,0,3833,0,4,119,0,1,8,6,0,0,6,39,0,0,9,0,2,17,3546,2,18,44,0,0,284,12,1,46,115,3660,509,25,25,0,0,0,0,7,0,0,23,5,74,6,0,0,0,14,2,0,0,0,3,0,21018,0,2,3,0,0,0,0,1,2,1,0,0,2,0,11,0,0,540,849,501,0,102,0,2,1567,29,345,0,17,915,0,115,75,9,4,0,9,10,24,0,0,1,6,2,0,0,2863,0,3,0,0,6,9,2,1434,0,1,0,1,2,0,0,0,0,7,0,46,1,0,0,0,1164892,0,0,757,0,1,0,0,1,168,1,0,1278103
GUF,62,0,0,0,66,4,0,217,11,0,4,73,6,0,2,3,8,1,0,0,0,17,477,26,0,0,0,27,489,72,5,9,7,0,13,0,77,44,2,1,8,0,3,6,73,0,9,5,4,109,5,0,2,206,0,0,8,0,341,0,0,90,0,1,0,452,0,0,55,2,1,5,0,0,46,3,0,1,2,11,0,0,19,0,0,2,261,438,7,0,60,0,0,0,1,1,5,0,0,0,0,263,0,0,1,18,2,1,0,0,62,0,1,0,0,0,0,0,1,0,14,623,10,0,0,37,0,237,0,0,0,1452,13,0,30,0,0,16,1,12,0,52,0,0,31,4,0,0,17,75,14,63,3,0,0,0,1,2,0,1,0,4,0,0,225,8,1,20,0,0,0,1,477,0,0,0,0,1,4,54,0,2,0,0,1079,0,1,43,0,1,6,0,0,81,0,0,9030
GUM,5,0,0,0,36,19,0,1485,44,0,0,47,0,0,2855,7,3,1,1,0,2,16,158,6,27,1,5,4,175,112,0,100,270,0,0,0,1,104,0,2,76,0,20,30,556,0,48,69,4,62,5,0,0,193,2,0,17,0,165,238,2,397,0,4,8,0,0,1,0,84,0,2,0,0,9,716,65,11,19,56,37,0,27,0,0,8,565,90,62,22,509,1,0,0,35,462,0,0,10,76,2,3,0,1,4,3,6,2,0,2,2,0,7509,0,1,4,0,0,3,0,0,0,1,0,6,0,0,0,0,0,0,93,35,0,494,0,0,57,0,2680,16,58,1297,19,32,13,53,2,4,0,16,104,7,16,0,3,125,0,8,0,0,5,0,0,1,14,2,73,1,0,0,4,225,0,0,7,0,41,0,76,6,21,0,3,402,0,2,13,0,272,0,16,0,216,5,0,24335
GUY,374,0,0,0,0,0,0,94,10,0,0,0,0,0,0,4,0,400,0,0,0,5,746,1796,0,0,0,0,21460,57,0,9,0,0,0,0,0,10,0,0,1,0,0,7,0,0,29,12,0,24,0,0,0,0,0,0,13,0,4936,0,0,47634,0,0,0,50,0,0,0,16,37,1,481,0,0,0,0,0,0,3,0,0,31,0,0,15,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,505,22,0,76,0,0,0,0,0,0,27,26,0,10,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,7190,2,2,54,0,0,0,0,0,0,0,0,0,1805,0,3,0,0,0,0,78406,0,347,5326,0,0,0,0,0,27,0,0,173345
HKG,3,20,2,0,21,2,0,57719,365,0,0,105,1,0,6283,19,0,0,0,2,27,41,24,6,4405,3,21,3,125237,363,127,70,4495,0,8,0,1,54,0,0,1587,1,85,121,1071,0,454,4,22,223,21,1,0,667,1,0,96,0,934,0,1,250423,0,3,1,1,0,0,8,80,0,1,0,0,2,0,0,6,3,83,387,0,681,0,0,10,401,1111,9,23,61,15,0,0,697,1952,1,5,0,0,2,2,0,0,13,8,9,10063,0,0,33,0,269,0,0,17,0,0,15,0,2,0,54,0,12,11,0,86,0,1,0,170,952,5,6866,0,468,110,0,690,0,194,0,253,235,7,0,1,3,37,45,125,2,33,0,0,21429,0,2,2,0,3,0,0,6,26,13,795,0,0,1,0,1922,0,0,2,0,2,0,300,2,12,4,2,105412,0,1,417,0,903,3,0,0,2023,0,0,614755
HND,1,0,0,0,0,64,0,671,96,0,0,3,0,0,60,5,0,21,0,0,3558,219,164,0,0,0,0,0,7551,448,0,211,2,0,0,0,0,367,0,0,49691,4,6,23,541,0,130,352,3,704,0,0,0,29386,0,0,57,0,387,0,0,8,0,0,0,0,0,0,1,31,0,1847,0,0,0,0,0,0,0,21,0,0,26,5,1,32,38,2357,132,31,10,29,0,0,0,1,0,0,8,0,14,0,0,0,0,0,0,0,0,0,1,0,8303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,72,356,93,0,28,0,0,1204,1,33,0,14,254,0,25,34,2,0,0,1,6,14,0,0,0,0,0,0,0,695,0,0,0,0,1,7,6,421,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,455155,2,0,463,0,0,0,0,1,28,0,0,566555
HRV,0,0,0,2708,0,0,0,2880,5084,0,0,322,0,0,0,33,0,0,78491,0,0,9,97,0,0,0,0,0,3059,935,0,76,0,0,0,0,0,8,0,0,1,0,20,1167,55232,0,98,0,0,18,3,0,0,618,0,0,101,0,894,0,0,99,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,1626,0,0,355,0,0,35,3,15369,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,2,0,0,0,1,0,5,112,0,37,0,854,0,0,0,0,0,0,0,0,0,1,0,0,0,207,1431,0,291,0,0,9,0,0,0,179,0,0,51,0,0,0,0,1,738,42,0,0,0,0,0,0,0,0,0,242050,0,0,0,373,19968,656,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,7171,0,0,38,0,0,0,0,0,223,0,0,444075
HTI,1563,0,0,0,0,15,0,63,44,0,0,197,0,0,0,7,0,27245,0,0,11,9,41,0,0,0,0,0,41989,1254,0,30,0,0,0,0,0,104,0,0,23,103,4,7,356,0,125,125573,0,173,0,0,0,221,0,0,14,0,70916,0,0,0,0,0,0,6563,0,0,0,24,0,2,7592,0,0,0,6,0,0,1,0,0,6,0,0,8,1,768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,557,0,0,2,0,0,0,0,3,355,0,0,0,0,0,0,0,0,0,1121,31,0,10,0,0,298,5,0,0,1,105,0,5,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,766,0,10,95,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,410111,0,0,996,202,0,0,0,0,1,0,0,699769
HUN,0,53,13,94,0,2,0,292,2133,0,0,390,4,0,1,75,0,0,333,547,0,0,1,0,0,0,0,1,119,4436,0,2,4,5,0,13,3,1,0,0,1,0,203,362,25041,0,75,2,0,1,0,0,0,6022,0,0,362,0,220,0,0,564,0,0,22,0,0,0,0,680,0,0,0,0,0,0,0,2693,0,0,0,0,38,516,12,12,341,9535,0,17,17,0,0,0,42,7,0,0,39,0,1,0,0,0,0,23,2,0,0,0,0,0,6,11,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2230,470,0,17,0,7,1,0,2,0,141,0,0,153,0,0,0,0,0,54,3990,12,0,20,0,0,0,0,0,0,98,33,0,0,323,256,75,0,0,3,0,179,0,29,0,0,0,0,105,0,2,245,0,1783,0,0,4,0,0,0,0,186,55,0,0,65877
IDN,76,90,0,0,323128,968,4,176740,2785,4,0,2849,0,0,153319,97,32342,42,6,0,65,114,3712,15,4939,52,248,17,58467,6618,340,652,74620,243,0,0,40,326,0,13,68,19,527,514,30497,0,2563,344,5765,288,5963,13,0,6992,7,0,907,6,11472,3,16,8189,1,31,95,3,0,1,0,985,0,48,63,64,69,252655,49,37,43,1443,0,976,1479,4,151,228,1236,9886,42,17564,54993,109,0,2,1434,47485,67276,60,8246,75,17732,6,1,9,7,61,42,5059,657,4,228,8,3467,0,8,147,2011,0,32,4,34,5,3774,21,1495496,0,0,2227,5,48,5,235333,2600,1464,20021,26589,2450,648,22,10449,17271,306,797,3233,2447,64,880,56,66496,0,314,1306,45,316811,408,34,244988,1078,35,2,0,61,18,0,235,79,84,5028,2,69,48,3,4560,0,7,48039,7,30,7,827,16,118,0,2,263383,16,4,1044,0,16032,1,11,70,7121,47,90,4218221
IND,2,30093,15,0,1616716,91,1,354940,12788,5,3,9419,15,1,8365,225,171476,454,6,74,183,194,815,613,6082,39799,6901,47,518311,19354,88,707,11477,15,94,0,41,213,8,3,62,12,3474,1887,56982,0,10617,389,1352,400,1185,100,0,43614,70,0,5297,1027,50406,0,74,594221,0,829,43,203,0,1,53,13525,1,15,70,1,8,13294,22,41,14,1545,4220,0,10003,5375,247,348,22249,161522,1509,4137,20421,714,99,0,383,7007,156146,3,1693,1286,2350,118,33814,100,117,194,176,126,0,8,5982,1720,2202,3,14,302,22111,0,90,1135,8,35,11098,1512,76576,108,73,235,5,17,9,18680,9446,311948,54123,118068,965509,2778,4,8627,119,1492,344,541,10050,143,86,108,362834,413,59,6194,1827,490548,1872,40,119079,115,685,4,0,49,3308,1,20,191,155,19196,1,210,20,43,63782,96,11,96,161,376,1,1255,6291,6587,204,1,1921489,99,2,267,0,1939,3,1,10,50640,2179,1,8732489
