countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
CUB,6,0,214,0,1,1140,0,423,622,4,2,793,7,1,199,342,0,261,4,46,0,594,1853,0,0,0,0,8,9635,2656,1,3320,6,5,2,91,348,1631,0,80,1197,0,38,577,12550,0,489,4643,2,4067,2,0,5,101780,6,2,423,0,4716,0,7,334,0,1,160,3,0,0,45,519,0,111,9,0,2,9,125,3,1490,790,0,0,224,3,1,40,121,30849,1330,15,32,304,0,1,0,3,0,0,49,7,1,18,0,0,14,28,77,0,0,0,6,0,9695,0,3,2,0,1,0,0,8,1,0,0,0,1,9,8,1,1,0,1072,798,0,63,0,0,320,0,113,0,265,6089,0,1847,202,2,2,0,5,50,1478,1,0,17,4,2,0,0,32,0,7,4,0,4,230,65,1796,0,1,1,1,6,0,6,111,0,2,0,70,1,13,173,0,382137,0,0,5822,0,1,0,0,64,925,2,0,605057
CYP,0,0,6,0,0,0,0,0,0,0,16,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,376,0,0,1042
CZE,0,2,8,3,0,0,0,0,10614,0,0,2911,0,0,0,551,0,0,62,0,0,18,63,0,0,0,0,0,3456,2778,0,15,0,0,0,7,0,2,0,0,0,0,221,0,67252,0,771,0,0,106,5,0,1,9143,0,0,197,0,524,0,0,6845,0,0,5,0,0,0,1,335,0,0,0,0,0,0,0,0,0,6273,0,0,4265,0,0,145,0,7274,0,2,0,26,0,0,0,0,0,0,0,1,0,0,0,0,25,529,146,0,0,0,0,0,16,12,0,25,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2201,1192,0,63,0,0,6,0,0,0,945,1,0,161,1,0,0,0,0,477,552,10,0,2,0,0,0,0,0,0,218,1,0,0,61387,267,947,0,0,0,0,1,0,0,0,0,0,0,244,0,0,0,0,3233,2,0,30,0,0,0,0,7,216,0,0,196804
DEU,48,3147,71,9484,1,10,43,8392,95694,5,2172,37454,208,798,370,4236,0,49,49666,304,6,245,1839,12,64,5,101,15,23254,122888,2,848,32,2005,1,1050,37,548,0,27,487,0,5248,29479,0,0,10839,1851,511,438,107,2,0,230445,410,151,2225,0,77773,0,72,77231,0,2,764,33,0,0,52,114768,0,1,2,0,19,451,143,13633,411,22543,4,0,7399,29274,129,477,3932,170971,109,11,375,3510,57,2,1604,101,0,1,44,4518,2,23,0,0,635,7170,1502,0,0,184,33,0,11084,3225,62,316,0,4754,9,0,5,1,55,1,67,0,0,1,18,10,0,23412,10846,0,1564,0,0,232,34,789,0,17547,2726,1,8544,238,46,40,0,0,5822,17622,2178,0,1119,0,3,0,1432,0,0,100646,2598,0,68,3759,12690,15832,0,0,35,214,8003,0,2,0,0,83,2,73397,84,953,3776,0,136810,13,6,649,0,94,0,9,448,8162,0,0,1669425
DJI,0,0,0,0,6,0,0,121,9,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,513,99,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,0,48,0,408,0,331,0,0,1,0,5713,16,0,6617,0,0,130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,118,109,0,6,0,0,167,0,0,0,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,50,0,55,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,78,0,16,4529,0,0,0,0,0,0,0,0,0,0,0,0,130,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,104,0,0,0,0,0,0,0,1417,21,0,0,21888
DNK,3,0,24,81,1,22,0,581,967,1,0,1889,1,0,102,63,16,13,5255,96,0,38,37,0,0,14,104,1,834,2291,0,62,0,1,0,55,0,35,0,0,11,0,104,328,11072,0,0,22,94,96,47,0,0,7909,32,0,473,0,1752,0,0,7494,0,0,24,1,0,0,0,128,0,0,3,0,0,31,2,119,0,450,0,0,567,2324,5,985,1126,1112,0,34,5,44,0,0,0,0,0,0,8,60,8,0,0,0,224,996,302,1,0,0,0,0,55,24,1,36,0,42,0,0,0,1,0,3,0,4,0,0,0,0,0,1399,4301,1,215,0,0,39,19,290,0,668,0,0,154,8,3,0,0,0,101,74,129,0,11,0,24,0,52,0,0,1458,54,0,0,118,154,20374,0,0,0,0,248,0,0,0,0,0,0,1642,0,125,0,0,1175,9,0,39,0,1,0,0,42,1242,0,0,84915
DOM,4772,4,18,0,2,1066,0,170,1924,0,4,470,5,2,1175,36,6,148,2,3,0,35,202,2,0,0,3,5,5008,7102,0,248,0,7,3,11,3,539,0,1,416,5,15,77,8055,0,127,0,5,945,1,0,0,136401,1,0,148,0,5079,0,1,161,0,0,10,1,0,0,8,745,0,20,1,0,8,0,8,3,2507,87,0,0,39,25,1,28,109,32624,0,25,0,37,0,0,2,2,0,0,65,4,0,34,0,0,3,24,6,0,0,1,7,0,1142,0,0,0,0,7,0,0,1,80,0,0,0,2,0,18,2,0,0,5753,607,0,20,0,1,4307,0,579,0,94,32630,0,97,12,2,0,0,8,69,56,1,0,6,0,0,0,6,20,0,24,10,0,3,30,179,510,0,1,2,2,33,0,0,0,0,0,0,157,1,1,19,0,484993,0,0,5209,2205,104,0,0,3,216,0,0,750069
DZA,6,0,1,1,313,33,0,736,551,0,0,688,7,98,48,366,27,2,8,54,0,10,237,3,3,0,3,28,18252,2035,20,55,12,62,19,162,12,42,0,3,26,0,65,649,13392,17,491,93,0,34,0,1,165856,38369,1,9,391,0,333551,0,51,7147,0,9,32,39,10,2,9,966,0,0,25,0,3,51,15,32,15,596,0,1,744,0,118,23,26460,10422,17,4352,22,1,137,0,81,6,159,0,1248,72,505,2,0,0,9,44,24,0,56,0,433,0,1353,3,307,36,0,0,0,0,497,28,3,2,3,8,0,100,372,19,0,2018,482,0,133,0,20,26,1,84,0,279,400,0,666,6,6,110,44,28,23,695,12,0,8780,787,48,3,6,0,0,53,594,3,13,78,42,791,0,1,194,17,358,0,5,0,0,14,26,281,2,637,19,1,9655,0,1,61,0,9,0,0,2083,425,1,2,663534
ECU,106,9,8,0,0,1433,0,691,296,0,0,2,1,1,6,16,0,14,4,0,0,626,1115,2,0,0,0,1,6084,2728,0,14945,20,3,0,4,0,9042,0,0,635,0,8,90,3733,0,410,675,0,0,1,0,0,417701,0,0,139,0,2498,0,0,12,0,0,4,0,0,0,0,96,1,5,0,0,5,13,154,1,32,143,0,0,55,18,0,22,20,101680,17,2,55,3,0,0,1,1,0,0,0,16,0,1,0,0,0,5,1,0,0,0,0,0,2463,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1197,422,0,64,0,0,1143,396,387,0,37,861,1,411,58,1,0,0,0,1,41,6,0,1,0,3,0,1,0,0,3,0,0,1,36,11,1283,0,0,0,1,6,0,0,0,0,11,0,0,0,1,0,0,226507,1,1,20316,0,1,0,0,1,33,0,0,821124
EGY,23,353,48,781,459983,648,16,58541,22918,6,15,2238,151,349,2062,326,46428,14,87,266,0,81,5521,10,20,4,30,288,70053,10374,87,352,112,768,129,400,122,353,8,10,85,8,8354,1067,44742,160,2909,244,750,171,0,16,4,10514,8,62,1482,0,49071,0,201,52651,0,96,674,59,36,8,76,21597,0,22,56,0,9,370,49,134,45,2103,0,126,1939,358,30395,73,57119,119300,45,347142,2260,156,388,11,240,46,70909,0,191424,360,26844,5,0,0,37,166,123,3,36,11,181,6,3702,3448,70,870,4,167,0,6,583,29,25,36,57,258,939,69,81,20151,2,19371,1279,10,2979,10848,170,149,12,986,1,967,1097,4,1555,30,33530,36,91298,217,286,5301,350,600853,62930,50,489,2,47,0,0,486,10584,8,44,455,214,6185,2,310,624,115,1146,0,58,2,0,36,50,3174,56,1967,211,3,246536,22,3,616,0,120,0,3,24698,7841,137,32,2902593
