,Country name,Alpha-3 code
0,Afghanistan,AFG
1,Åland Islands,ALA
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Anguilla,AIA
8,Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
13,Australia,AUS
14,Austria,AUT
15,Azerbaijan,AZE
16,Bahamas ,BHS
17,Bahrain,BHR
18,Bangladesh,BGD
19,Barbados,BRB
20,Belarus,BLR
21,Belgium,BEL
22,Belize,BLZ
23,Benin,BEN
24,Bermuda,BMU
25,Bhutan,BTN
26,Bolivia ,BOL
27,Bonaire Sint Eustatius Saba,BES
28,Bosnia and Herzegovina,BIH
29,Botswana,BWA
30,Bouvet Island,BVT
31,Brazil,BRA
32,British Indian Ocean Territory ,IOT
33,British Virgin Islands – See Virgin Islands ,Brunei Darussalam [f]
34,BRN,Bulgaria
35,BGR,Burkina Faso
36,BFA,Burma – See Myanmar.
37,Burundi,BDI
38,Cabo Verde,CPV
39,Cambodia,KHM
40,Cameroon,CMR
41,Canada,CAN
42,Cape Verde – See Cabo Verde.,"Caribbean Netherlands – See Bonaire, Sint Eustatius and Saba."
43,Cayman Islands ,CYM
44,Central African Republic ,CAF
45,Chad,TCD
46,Chile,CHL
47,China,CHN
48,"China, The Republic of – See Taiwan ",Christmas Island
49,CXR,Cocos (Keeling) Islands (the)
50,CCK,Colombia
51,COL,Comoros (the)
52,COM,Congo (the Democratic Republic of the)
53,COD,Congo (the) [h]
54,COG,Cook Islands (the)
55,COK,Costa Rica
56,CRI,Côte d'Ivoire [i]
57,CIV,Croatia
58,HRV,Cuba
59,CUB,Curaçao
60,CUW,Cyprus
61,CYP,Czechia [j]
62,CZE,"Democratic People's Republic of Korea – See Korea, The Democratic People's Republic of."
63,"Democratic Republic of the Congo – See Congo, The Democratic Republic of the.",Denmark
64,DNK,Djibouti
65,DJI,Dominica
66,DMA,Dominican Republic (the)
67,DOM,East Timor – See Timor-Leste.
68,Ecuador,ECU
69,Egypt,EGY
70,El Salvador,SLV
71,Equatorial Guinea,GNQ
72,Eritrea,ERI
73,Estonia,EST
74,Eswatini,SWZ
75,Ethiopia,ETH
76,Falkland Islands ,FLK
77,Faroe Islands ,FRO
78,Fiji,FJI
79,Finland,FIN
80,France,FRA
81,French Guiana,GUF
82,French Polynesia,PYF
83,French Southern Territories ,ATF
84,Gabon,GAB
85,Gambia ,GMB
86,Georgia,GEO
87,Germany,DEU
88,Ghana,GHA
89,Gibraltar,GIB
90,"Great Britain – See United Kingdom, The.",Greece
91,GRC,Greenland
92,GRL,Grenada
93,GRD,Guadeloupe
94,GLP,Guam
95,GUM,Guatemala
96,GTM,Guernsey
97,GGY,Guinea
98,GIN,Guinea-Bissau
99,GNB,Guyana
100,GUY,Haiti
101,HTI,Heard Island and McDonald Islands
102,HMD,Holy See (the) [o]
103,VAT,Honduras
104,HND,Hong Kong
105,HKG,Hungary
106,HUN,Iceland
107,ISL,India
108,IND,Indonesia
109,IDN,Iran (Islamic Republic of)
110,IRN,Iraq
111,IRQ,Ireland
112,IRL,Isle of Man
113,IMN,Israel
114,ISR,Italy
115,ITA,Ivory Coast – See Côte d'Ivoire.
116,Jamaica,JAM
117,Jan Mayen – See Svalbard and Jan Mayen.,Japan
118,JPN,Jersey
119,JEY,Jordan
120,JOR,Kazakhstan
121,KAZ,Kenya
122,KEN,Kiribati
123,KIR,Korea (the Democratic People's Republic of) [p]
124,PRK,Korea (the Republic of) [q]
125,KOR,Kuwait
126,KWT,Kyrgyzstan
127,KGZ,Lao People's Democratic Republic (the) [r]
128,LAO,Latvia
129,LVA,Lebanon
130,LBN,Lesotho
131,LSO,Liberia
132,LBR,Libya
133,LBY,Liechtenstein
134,LIE,Lithuania
135,LTU,Luxembourg
136,LUX,Macao [s]
137,MAC,North Macedonia [t]
138,MKD,Madagascar
139,MDG,Malawi
140,MWI,Malaysia
141,MYS,Maldives
142,MDV,Mali
143,MLI,Malta
