countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
SWE,0,0,0,3,0,0,0,980,798,0,0,1112,0,0,0,79,0,0,0,51,0,44,6,0,0,3,77,0,142,1765,0,48,0,0,0,0,0,34,0,0,2,0,267,245,2544,0,1598,15,59,125,28,0,0,8999,24,0,5359,0,1174,0,0,8256,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,25,0,741,0,0,704,5005,0,153,4,2645,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,42,348,196,0,0,0,0,0,0,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,556,2733,0,160,0,0,27,0,142,0,640,0,0,151,3,0,0,0,0,198,128,0,0,2,0,0,0,0,0,0,12,4,0,0,64,97,0,0,0,3,0,21,0,0,0,0,0,0,1471,0,7,8,0,0,0,0,15,0,0,0,0,0,37,0,0,51361
SWZ,0,0,94,0,0,0,0,1001,25,0,3,7,0,0,0,5,0,4,0,0,0,0,21,0,0,0,500,0,181,99,0,141,1,0,0,0,0,1,0,0,0,0,46,4,76,0,28,0,2,4,3,3,0,28,0,0,12,0,70,0,0,1414,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,4,0,0,40,0,0,0,77,89,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,5,0,0,0,77,0,0,0,0,84,8,0,349,0,0,0,0,0,0,6,0,0,448,1,0,0,0,0,0,8,2,0,0,0,0,0,7,0,0,0,15,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,3,17,7,0,0,309,0,0,2,0,0,0,0,1,39896,0,0,46235
SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGO,0,0,0,0,2,0,0,38,15,0,9,205,7167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,129,176,0,1,0,0,17,38,82,1,0,0,0,0,0,1,354,0,9,1,0,2,0,0,0,98,0,0,6,0,1885,0,669,2,0,11255,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,15,434,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,8,0,4909,0,99,5,0,2,0,0,0,0,0,0,5,0,0,8,0,0,0,0,10,1,1,1,0,0,0,0,0,5,0,0,0,0,6,1,1,0,18,0,0,3,0,0,0,0,0,0,0,0,7,0,4,0,0,47,0,0,0,0,0,0,0,0,7,0,0,27848
THA,0,7,0,0,2,0,0,8847,771,0,0,863,0,0,0,6,0,0,0,0,0,2,158,0,68,9,1,0,1154,3797,0,1,1293,0,2,0,0,3,0,0,0,0,59,262,17746,0,2054,0,189,6,87,0,0,589,0,0,2117,0,3223,0,0,66,0,0,0,0,0,0,2,101,0,0,0,0,0,0,0,0,0,189,4406,0,94,12,0,186,14,2192,0,0,1,0,0,0,919,7555,0,324,0,0,0,0,0,0,3,12,6,0,0,0,9,0,18,0,0,10,0,0,0,0,0,0,1,0,2,3,0,18,0,0,0,2653,3379,0,768,0,0,35,0,62,0,52,0,142,92,0,0,0,14,11,6,75,0,19,0,0,1073,0,0,0,0,0,0,0,0,17,65,8232,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,20845,0,0,9,0,24,0,0,0,179,0,0,97306
TJK,0,30217,0,22,6,0,0,132,704,1715,0,1151,0,0,0,1374,0,0,0,6624,0,21,5,0,4,0,1,0,863,977,3,1,173,0,0,0,6,26,0,56,0,0,534,2390,23681,0,127,0,196,121,107,0,0,5060,914,0,36,0,2764,0,0,735,343,1,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,218,2,0,63,2709,1,2,849,5404,0,1,0,51923,0,744,0,29,1,0,0,0,158,0,0,0,775,1,350,0,0,989,9,0,4,7,0,24,0,13,0,0,5,0,0,0,1,0,0,0,0,0,0,1830,938,1,233,0,1,12,0,0,0,719,0,12,386,3,0,0,1,0,584,238450,0,9,0,0,1,0,7,0,0,0,0,0,0,70,46,849,0,7,0,0,1,0,677,0,0,0,0,791,0,15,24931,0,1389,4792,0,10,0,0,0,0,0,190,0,0,422473
TKM,0,0,0,8,0,0,100,43,364,1147,0,472,0,0,0,689,0,0,0,3031,0,7,21,0,0,0,1,0,402,498,0,0,41,0,0,0,2,10,0,18,0,0,247,1344,9267,0,92,0,42,48,29,0,0,2777,380,0,47,0,1139,0,0,732,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,167,0,0,132,3016,0,16,1030,3490,0,0,0,6207,0,0,0,0,0,0,0,0,20,0,0,0,349,7,210,0,0,217,3,0,0,2,0,10,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,657,401,0,69,0,0,5,0,2,0,667,0,3,431,2,0,0,0,0,280,62030,0,0,0,0,0,0,2,0,0,0,0,0,0,49,27,403,0,0,0,0,0,0,0,0,0,0,0,1448,0,5,10590,0,597,586,0,4,0,0,0,0,0,84,0,0,116332
TLS,0,0,4,0,9,0,0,96,3,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,19,0,0,0,39,37,1,0,12,0,0,0,0,0,0,0,0,0,2,4,24,0,4,0,0,1,0,0,0,73,0,0,2,0,16,0,0,85,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,13,1,4,0,0,0,3,34,0,0,17,0,0,0,1,14,2,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,10,4,0,18,0,0,0,0,2,0,2,0,1,13,0,0,0,2,0,1,2,0,32,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,146,0,0,2,0,0,0,0,0,19,0,0,838
TON,0,0,0,0,0,0,0,1307,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937,0,0,0,0,0,7,0,0,0,0,0,8515
