,for the 5-year period 1995-2000,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
63,GBR,23,0,0,0,0,52,0,49639,1090,0,0,5333,0,0,2771,477,0,90,161,61,16,9,805,755,71,9,17,0,16091,2200,9029,352,1277,0,0,0,0,324,0,10,205,0,11716,388,7056,0,3899,291,0,5,0,28,0,43871,21,0,489,29,7609,0,0,0,0,162,556,33,0,0,0,0,2,1,0,0,141,5969,79,146,23,2133,0,193,1819,4630,23,179,2136,262,1001,5,1651,0,658,0,125,170,0,0,40,1742,0,196,0,0,0,1060,72,57,0,0,5,0,7044,0,0,1334,0,0,0,0,0,20,0,1093,684,0,0,0,0,0,1,4824,1633,0,6244,0,0,130,43,10069,4,3,1918,36,2175,30,0,9,0,0,82,0,8186,0,0,0,2008,0,207,0,0,206,1469,0,2,94,541,2191,1,0,0,7,4235,0,0,0,0,588,0,612,26,873,0,34,162294,0,155,242,0,489,0,1,0,1072,0,57,414504
64,GEO,0,0,0,8,0,125,36250,776,1389,1016,0,542,0,0,1,280,0,1,14,3700,0,5,18,0,0,0,1,0,846,248,0,21,29,0,0,0,0,16,0,2,15,1,4920,490,33453,0,153,33,1,3,0,0,0,992,396,0,1223,0,757,0,0,797,0,1,0,0,0,0,0,9295,0,0,0,0,0,26,1,12,3,339,0,1,774,6,15,26,8420,805,0,7,85,104,0,1219,3,51,0,0,8,7,6,0,0,0,1,5,1953,1,0,2,1,0,120,3,0,24,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,440,127,1,140,0,0,11,2,13,0,551,1,1,329,4,0,0,0,0,49,227367,3,0,0,0,2,0,2,0,0,77,0,0,0,171,41,191,0,0,0,2,11,0,367,0,0,0,0,2791,1,13,24433,0,17743,3233,0,23,0,1,0,0,0,118,0,0,390108
65,GHA,0,0,0,0,0,0,0,364,81,0,0,8,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,3279,18,0,1,0,0,0,0,0,1,0,13,0,0,7,5,6,0,174,0,0,0,0,0,0,328,0,0,53,0,0,0,120,4883,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,157,0,0,4,0,1759,0,0,194,0,0,0,0,0,0,0,0,6044,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,6126,0,909,116,0,38,0,0,2,0,1,0,0,0,0,11,0,0,0,0,0,0,0,645,0,0,0,0,0,472,0,0,0,3,1,0,1,6,50,0,0,0,34484,0,0,0,0,0,0,0,0,0,1,0,0,18408,0,0,2,0,0,0,0,0,0,0,0,78896
66,GIN,0,0,6,0,0,2,0,24,61,0,0,235,171,7,2,2,0,0,0,0,0,1,9,0,0,0,0,5,801,103,0,7,9,11349,1,0,0,4,0,41,2,0,1,6,812,0,28,7,0,0,0,0,233,2244,0,0,4,0,1809,0,673,40,0,44,0,8,0,911,2,2,0,0,8,0,0,9,1,0,1,18,0,0,42,21,0,4,7,689,1,1,21,0,0,0,0,1,0,0,0,239900,0,0,0,0,0,7,0,0,0,0,1,0,91,0,0,0,0,0,0,0,127,4,1,0,0,1,0,2,114,1042,0,299,10,0,10,0,0,4,0,3,0,2,31,0,171,0,0,3,0,5,1,41,3,0,0,0,0,0,44568,0,0,1,0,0,1,2,4,33,0,0,0,936,2,0,0,0,0,1,0,3,0,1,0,0,3654,0,0,4,0,0,0,0,0,14,0,0,311587
67,GLP,13,0,0,0,0,5,0,2,0,0,0,0,0,0,4,0,0,89,0,0,0,0,0,3,0,0,0,0,285,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0,8,0,1,491,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,581,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,21,0,2,0,0,122,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6223,0,0,1,14,0,0,0,0,0,0,0,8956
68,GMB,0,0,0,0,0,0,0,50,296,0,0,16,1,9,0,4,0,0,0,0,0,0,0,0,0,0,0,1,276,120,0,3,0,853,0,0,25,1,0,20,0,0,0,4,1703,0,394,0,0,8,0,0,22,5349,0,0,153,0,1138,0,79,1591,0,19,1449,0,0,961,0,24,0,0,0,0,0,0,0,0,0,8,0,0,68,0,1,5,0,588,0,0,0,0,0,0,0,0,0,0,0,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,166,0,0,0,0,0,0,0,95,2283,0,188,606,0,5,0,0,1,1,0,0,2,0,0,125,0,0,0,0,0,1,33,0,0,0,1200,0,0,4080,0,0,0,0,0,0,1,2,1692,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,6304,0,0,0,0,0,0,0,0,1,0,0,35253
69,GNB,0,0,0,0,0,0,0,2,18,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,29,50,0,2,0,100,0,0,0,3,0,657,0,1,0,3,1,0,19,0,0,1,0,0,329,1047,0,0,3,0,2759,0,0,1,0,0,427,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,166,0,0,0,0,0,0,0,0,0,0,0,5433,32,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,1058,0,72,6,0,0,0,0,2,1,0,0,0,7,0,12578,0,0,0,0,0,0,44,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,1,0,0,0,0,0,5,0,0,25164
70,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,GRC,2,0,0,1,7,7,48,692,517,2,1,53,1,0,163,113,0,3,152,210,0,8,80,9,1,1,1,0,401,229,54,44,66,1,0,0,0,52,0,1,40,0,6744,102,3975,0,303,60,2,1,0,0,67,1284,2,0,27,0,735,0,3,1106,0,4,36,2,0,0,1,0,1,0,1,0,7,231,29,47,12,232,0,2,362,588,65,17,653,289,38,4,74,121,2,3,26,21,0,0,2,187,48,4,0,0,0,24,224,0,0,1,0,0,2654,497,0,85,0,0,0,0,0,1,0,10,9,0,0,0,0,6,0,714,81,1,103,0,0,29,1,195,0,4,770,2,129,6,0,0,0,0,49,8998,328,0,0,0,7,0,9,0,0,84,150,0,1,263,22,228,0,0,0,9,151,0,1,0,0,28,0,241,2,71,530,0,4062,11,3,22,0,30,0,1,0,72,0,1,41400
72,GRD,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,5,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4992,0,0,1,0,0,0,0,0,0,0,0,6323
