,for the 5-year period 1995-2000,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
73,GTM,1,0,0,0,0,101,0,878,67,0,0,1,0,0,320,2,0,5,0,0,5492,44,148,1,0,0,0,0,8615,129,0,119,1,0,0,0,0,201,0,0,840,1,1,3,107,0,81,316,2,29,0,0,0,1427,0,0,11,0,358,0,0,9,0,0,0,5,0,0,1,5,0,0,3,0,1,6,1338,0,8,8,0,0,94,3,0,13,2,903,153,0,1,0,0,0,0,1,0,0,0,3,15,2,0,0,0,1,0,0,0,0,0,0,1423,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,83,141,108,0,23,0,0,440,3,174,0,0,424,0,20,19,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,341,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,366689,0,0,175,0,0,0,0,0,8,0,0,391969
74,GUF,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,146,8,0,0,0,0,54,0,0,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,191,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,198,0,0,0,0,1,0,0,0,0,0,0,589,0,1,12,0,1,0,0,0,0,0,0,1627
75,GUM,3,0,0,0,0,0,0,187,0,0,0,0,0,0,1239,2,0,0,1,0,0,6,62,5,0,1,0,0,34,0,0,61,35,0,0,0,0,76,0,1,66,0,5,4,0,0,9,58,0,0,0,0,0,76,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,484,58,3,16,16,0,0,0,0,0,4,20,0,53,0,1,0,0,0,26,1,0,0,0,68,0,3,0,0,0,0,2,0,0,0,0,0,6378,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,190,0,0,45,0,1318,0,0,1130,0,5,5,0,0,0,0,2,30,7,0,0,0,5,0,5,0,0,2,0,0,1,4,0,0,0,0,0,3,219,0,0,0,0,34,0,0,0,17,0,0,144,0,2,1,0,136,0,8,0,76,0,0,12510
76,GUY,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,1,236,206,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,957,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,1,1,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,41158,0,74,1244,0,0,0,0,0,0,0,0,45405
77,HKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2412
78,HND,0,0,0,0,0,22,0,331,11,0,0,0,0,0,23,1,0,2,0,0,931,11,89,0,0,0,0,0,2897,23,0,35,0,0,0,0,0,73,0,0,34081,0,2,2,8,0,30,136,1,7,0,0,0,875,0,0,12,0,44,0,0,0,0,0,0,0,0,0,0,1,0,338,0,0,0,0,0,0,0,4,0,0,9,1,0,3,0,428,36,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,21,0,5,0,0,572,1,16,0,0,139,0,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141732,0,0,149,0,0,0,0,0,1,0,0,184628
79,HRV,0,0,0,1138,0,0,0,0,0,0,0,44,0,0,0,5,0,0,76405,0,0,0,0,0,0,0,0,0,1115,0,0,40,0,0,0,0,0,1,0,0,0,0,6,196,0,0,0,0,0,0,0,0,0,138,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,138,0,0,2,0,6268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,537,0,142,0,0,4,0,0,0,0,0,0,17,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,108599,0,0,0,96,9228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6637,0,0,8,0,0,0,0,0,71,0,0,211754
80,HTI,310,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3792,0,0,0,1,0,0,0,0,0,0,2562,0,0,3,0,0,0,0,0,5,0,0,8,0,1,1,0,0,19,33292,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,1,0,0,0,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,2,0,0,96,0,0,0,0,55,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101307,0,0,0,68,0,0,0,0,0,0,0,142083
81,HUN,0,0,0,94,0,1,0,279,1154,0,0,88,1,0,0,55,0,0,333,215,0,0,0,0,0,0,0,0,115,836,0,1,3,0,0,0,0,1,0,0,1,0,99,144,9715,0,41,2,0,0,0,0,0,63,0,0,238,0,174,0,0,81,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,749,0,0,0,0,23,275,2,8,88,478,0,0,9,0,0,0,42,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,5,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,143,0,12,0,0,1,0,1,0,59,0,0,14,0,0,0,0,0,20,2900,12,0,0,0,0,0,0,0,0,59,3,0,0,118,245,62,0,0,0,0,179,0,0,0,0,0,0,70,0,2,0,0,1780,0,0,4,0,0,0,0,0,2,0,0,21909
82,IDN,32,15,0,0,13249,379,4,41236,365,0,0,328,0,0,21757,17,764,5,6,0,35,36,880,12,3235,47,57,0,18977,649,221,242,12664,9,0,0,0,121,0,2,43,1,141,55,3784,0,455,180,462,18,7,7,0,855,3,0,135,4,1142,0,1,3039,0,6,4,2,0,0,0,172,0,8,29,23,36,96705,38,14,25,511,0,53,636,3,26,42,138,2523,38,3136,12908,15,0,0,986,10769,4268,25,2234,66,2499,5,0,0,0,5,17,2406,54,0,4,1,2848,0,0,44,1927,0,0,0,2,2,1787,21,454740,0,0,320,1,18,1,27433,370,767,5465,6,503,296,6,4651,2141,12,651,418,177,18,37,12,1207,0,83,35,43,35,0,3,46256,0,19,0,0,20,0,0,78,13,22,662,0,0,3,2,2168,0,0,0,3,25,0,83,3,94,0,1,85854,0,3,498,0,4029,0,5,0,959,6,2,912994
83,IND,2,4932,0,0,53569,55,1,21466,1484,0,1,753,4,0,2686,13,2800,53,6,14,37,22,246,102,572,13768,644,0,90475,1038,6,228,2331,1,7,0,0,60,2,1,37,0,333,69,4015,0,1878,162,44,8,22,18,0,3316,14,0,308,182,3236,0,14,72700,0,84,0,88,0,0,18,2675,1,3,52,1,5,7697,17,21,12,209,0,0,2969,2475,100,51,2007,14760,374,322,3772,14,99,0,265,1323,11830,2,342,501,277,22,0,0,1,37,29,97,0,0,498,360,1445,2,0,64,16344,0,0,0,0,35,2269,352,31660,35,0,82,0,9,1,2366,1886,77473,5714,0,228687,562,4,1370,28,38,327,69,2014,29,24,75,2698,163,18,430,1446,1,0,0,23545,24,189,0,0,21,0,0,11,21,25,1832,1,0,1,30,59137,2,0,0,34,125,0,158,477,1911,0,1,379890,1,2,81,0,673,0,1,0,1632,86,1,1184777
84,IRL,0,0,0,0,0,8,0,2998,58,0,0,357,0,0,120,9,0,10,0,1,0,3,71,18,2,0,12,0,910,74,373,29,28,0,0,0,0,26,0,0,9,0,152,13,339,0,176,20,0,0,0,0,0,1741,0,0,36,1,186,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,172,4,2,1,199,0,4,0,0,0,5,43,0,26,0,71,0,0,0,2,4,0,0,1,54,0,5,0,0,0,100,6,0,0,0,0,0,387,0,0,51,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,134,71,0,401,0,0,11,1,271,0,0,107,1,148,1,0,0,0,0,2,0,118,0,0,0,0,0,5,0,0,1,0,0,0,2,3,120,0,0,0,0,5,0,0,0,0,15,0,15,1,11,0,1,14423,0,4,12,0,9,0,0,0,1126,0,1,25972
85,IRN,0,0,0,0,0,1,0,4293,141,0,0,0,0,0,0,26,0,0,3,0,0,1,0,0,0,0,0,0,4361,46,0,1,0,0,0,0,0,0,0,0,1,0,13,21,8573,0,2266,1,1197,0,92,0,0,169,0,0,539,0,19,0,0,3112,0,0,0,0,0,0,0,572,0,1,0,0,0,0,0,0,0,14,0,0,100,0,0,3,337,223,0,0,0,0,0,0,0,0,0,0,473,0,5458,0,1,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,5253,1386,0,950,0,0,3,0,1,0,0,0,0,7,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,10,2020,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,14459,0,0,4,0,0,0,0,0,1,0,0,56341
86,IRQ,0,0,0,0,0,2,0,5174,196,0,0,0,0,0,0,39,0,0,4,0,0,1,0,0,0,0,0,0,5541,64,0,1,0,0,0,0,0,0,0,0,1,0,26,28,11591,0,2987,1,1711,0,176,0,0,236,0,0,677,0,26,0,0,4184,0,0,0,0,0,0,0,912,0,1,0,0,0,0,0,0,0,19,0,0,133,0,0,4,731,323,0,0,0,0,0,0,0,0,0,0,1046,0,8252,0,1,0,0,0,1,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,7060,1786,0,1156,0,0,3,0,1,0,0,0,0,10,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,26,69,0,0,8,13,2586,0,0,0,0,16,0,0,0,0,0,2,0,0,17,0,0,18483,0,0,6,0,0,0,0,0,2,0,0,75543
87,ISL,0,0,0,0,0,0,0,42,2,0,0,0,0,0,40,21,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,3,0,1228,3,0,0,0,0,0,140,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,19,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,692,0,16,0,0,0,0,24,0,0,0,0,10,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,455,0,0,0,0,0,0,0,0,5,0,0,3001
88,ISR,0,0,0,6,0,1,0,4,40,0,0,24,0,0,5,7,0,0,11,2,0,0,1,0,0,0,0,0,418,2,0,1,0,0,0,0,0,2,0,0,0,0,58,97,2562,0,31,7,0,0,0,0,0,565,2,0,10,0,2,0,0,239,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,24,1,1068,0,0,623,10338,81,19,0,301,0,40,36,2,0,0,0,0,0,0,41,1,0,0,0,0,0,1,9,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,21,0,10,0,0,2,0,13,0,6,1,0,13,0,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,35,0,0,0,378,4,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,3315,0,0,5,0,0,0,0,0,4,0,0,20683
89,ITA,58,0,0,128,23,45,3,11317,5501,0,3,3583,12,0,628,389,2,36,817,14,1,123,2727,50,6,10,24,0,23810,26243,354,434,342,0,13,0,0,653,3,84,621,0,687,594,4313,9,1722,2542,94,35,11,4,2,37432,15,77,338,1,45706,0,39,18279,0,44,0,226,0,0,55,6405,1,0,157,0,37,875,184,2498,564,3185,0,10,2202,7515,41,129,2132,0,197,5,861,0,56,0,61,52,10,0,8,889,371,24,0,0,1,3642,94,0,0,0,42,0,14878,2,0,561,0,0,0,0,0,105,81,32,39,44,0,104,0,11,0,2551,717,0,815,0,0,291,11,1336,0,261,4087,9,3633,91,0,113,3,177,1081,304,992,1,0,0,10,5,46,0,39,3144,0,1,99,293,1184,1810,0,0,2,114,756,0,0,0,0,147,1,1497,27,330,0,44,58601,0,16,4162,0,123,0,4,0,1011,0,3,328329
90,JAM,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,12,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,40,0,1,0,0,2,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,12,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77905,0,14,0,0,0,0,0,0,0,0,0,78537
91,JOR,1,27,0,2,27738,111,82,4149,533,1,0,30,11,1,39,101,2566,0,317,4,0,15,134,1,9,0,1,0,7174,341,3,221,33,1,0,0,0,151,0,0,16,5,370,84,7899,2,1320,113,3188,22,652,0,0,2073,0,0,205,0,1263,0,4,1359,0,4,1,6,0,0,1,944,0,2,1,0,1,65,53,18,3,274,0,2,314,142,16971,17,1970,1719,7,0,54,26,2,1,20,10,14322,0,25148,69,21791,1,0,0,5,6,24,0,527,0,1,0,606,16,0,29,7,0,0,0,7,4,1,6,21,2,3,1,1,15,9,1696,390,15,369,1111,763,129,16,35,0,115,343,1,44,15,60775,1,4317,3,927,631,17,14876,59,0,203,0,3,0,0,189,203,0,2,49,43,1647,2,0,0,11,117,0,1,0,0,5,84,767,0,62,37,0,59055,3,0,634,0,7,0,0,0,51,0,0,297445
92,JPN,3,0,0,0,0,445,0,7146,449,0,0,1013,0,0,14,21,0,24,1,0,0,357,13964,4,85,49,0,0,11177,720,1,310,1303,0,0,0,0,275,0,2,133,0,20,50,5065,0,424,668,0,29,0,0,0,1611,1,0,171,0,2862,0,3,8668,0,9,0,0,0,0,0,298,0,8,0,77,6,5128,77,3,148,521,0,42,355,0,0,27,33,1,41,0,0,0,0,0,807,4872,0,0,0,55,0,9,0,0,1,6,5,0,0,0,8,0,6042,0,0,7,0,0,0,0,0,0,0,0,2311,0,0,0,0,0,0,1315,236,0,4376,0,0,206,91,2576,0,23,972,34,132,419,0,6,0,0,58,83,5,0,0,0,3,0,7,0,0,2,0,0,1,13,17,538,0,0,0,2,8343,0,0,0,20,27,0,246,0,184,0,0,128481,0,2,20,0,291,0,28,0,150,10,0,226882
93,KAZ,0,0,0,41,0,696,264,10755,3559,1411,0,560,0,0,87,895,0,22,122,15062,2,93,675,0,0,6,22,0,9983,1829,0,411,476,0,0,0,0,197,0,16,195,0,1234,2049,399345,0,962,648,15,55,0,0,0,9655,61,0,6090,0,2065,0,2,4640,0,4,0,10,0,0,0,9037,0,5,0,1,0,337,19,260,129,1693,0,1005,1620,0,32,175,10413,2236,0,19,1124,0,0,1508,52,1270,0,0,29,230,101,5,0,0,7,11,7249,0,0,0,17,0,995,6,0,78,0,0,0,0,0,0,39,0,6,0,0,0,0,0,0,1931,940,0,1845,0,0,97,14,319,0,2800,7,12,1864,95,0,26,0,0,188,701697,115,0,0,0,0,0,22,0,0,614,0,0,0,585,244,1578,1,0,0,74,797,0,1,0,0,0,0,7395,28,110,17741,0,103445,2061,0,266,0,46,0,6,0,3309,0,0,1364195
94,KEN,0,0,0,0,0,2,0,3192,266,0,88,0,0,0,360,3,0,1,0,0,0,5,0,0,0,0,152,0,8956,604,0,13,0,0,0,0,0,6,33,0,4,1,23,15,2401,0,508,52,0,3,0,96,0,319,0,0,95,0,322,0,0,44843,0,4,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,44,0,0,412,0,0,15,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,24,0,0,0,1,808,443,0,473,0,0,2,1,189,0,16,0,0,91,0,0,0,0,0,0,82,10033,0,0,0,0,0,47,0,0,0,0,0,0,3,14,498,1,0,0,0,0,0,0,0,0,0,0,52,3340,35753,0,0,30231,0,0,4,0,0,0,0,0,3053,0,0,148747
95,KGZ,0,0,0,4,0,91,1,669,197,0,0,52,0,0,7,73,0,1,7,450,0,5,23,0,0,0,1,0,489,82,0,21,44,0,0,0,0,13,0,2,10,0,90,174,13080,0,66,27,0,3,0,0,0,452,2,0,697,0,133,0,0,394,0,0,0,0,0,0,0,175,0,0,0,0,0,43,1,9,4,131,0,0,230,1,4,16,777,252,0,2,109,158,0,0,7,63,0,0,3,8,2,0,0,0,0,2,294,2,0,0,1,0,52,1,0,7,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,212,77,2,119,0,0,8,0,14,0,211,1,1,146,4,0,1,0,0,16,16689,4,0,0,0,3,0,2,0,0,38,0,0,0,66,18,98,0,0,0,3,26,0,0,0,0,0,0,258,1,9,52,0,8468,0,0,16,0,2,0,0,0,135,0,0,46422
96,KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,KOR,0,0,0,0,0,1275,0,16486,0,0,0,1,0,0,246,10,0,1,0,0,0,185,5,0,39,15,0,0,42674,389,0,509,32855,0,0,0,0,111,0,0,109,0,3,22,3506,0,2913,321,0,53,0,0,0,1237,0,0,53,0,4279,0,25,5851,0,0,5,0,0,0,0,2,0,537,0,147,1,1944,25,0,1,239,0,0,147,0,0,12,2,2087,5,0,35101,0,0,0,100,0,0,0,0,7,0,0,0,0,0,9,8,0,0,0,0,0,771,0,0,2,0,0,0,0,2,0,0,0,692,0,0,0,0,0,11,1304,2145,0,11612,0,0,115,27,929,49,6,143,814,40,0,0,0,0,0,1,306,1,0,0,0,0,0,8,0,0,0,0,0,0,2,5,2757,0,0,0,0,1238,0,0,0,0,3,0,99,0,165,0,0,405106,0,0,92,0,71,0,0,0,148,0,0,582216
98,KWT,6,110,0,0,9585,1,1,3014,173,1,0,19,0,0,78,43,835,1,1,0,0,4,24,7,7,1,3,0,9270,201,92,20,45,0,1,0,0,28,0,0,9,0,255,27,404,4,1001,16,486,3,3,0,0,254,0,0,64,2,635,0,0,1474,0,3,0,1,0,0,0,120,0,0,0,0,2,122,7,2,2,98,0,60,274,65,459,4,152,497,14,396,69,35,27,1,272,28,0,0,296,30,3107,2,0,0,2,2,2,0,0,0,2,0,617,24,0,22,24,0,0,0,11,0,0,13,49,0,0,0,0,0,1,1071,237,33,542,34,2968,11,3,251,0,72,166,1,29,1,4530,0,1334,0,21,56,7,516,382,0,247,0,5,0,17,2,1836,0,10,30,7,560,0,0,0,1,1216,0,1,0,0,10,0,167,2,489,0,0,22615,5,2,47,0,14,0,0,0,47,0,1,74718
99,LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,88513
100,LBN,0,6,0,0,895,0,303,18704,351,0,0,15,0,0,0,103,45,0,0,0,10,0,4365,0,0,0,0,27,21162,871,0,52,1,0,0,0,4,341,0,0,20,0,650,56,7827,0,4790,367,27,25,0,0,0,1080,0,0,100,0,8267,0,291,4660,0,180,25,50,0,0,0,18,0,0,0,0,0,3,3,0,0,64,0,0,97,3,795,8,1634,25,1,0,3,0,0,0,0,1,108,0,0,3883,447,3,0,0,12,6,8,0,25,0,0,0,484,0,0,17,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,987,542,2,165,0,165,136,0,68,0,53,31,0,29,201,0,0,9,0,437,2,0,0,0,0,16,0,0,0,0,0,56,0,0,24,10,5556,0,0,0,383,3,0,0,0,0,0,0,210,0,15,0,0,42686,0,0,2048,0,0,0,0,0,71,0,0,137230
101,LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,LBY,29,0,0,9,1566,62,2,2561,927,0,2,307,64,34,37120,156,141,9,113,161,0,36,566,17,19,3,6,9,4862,1385,87,185,83,632,32,0,9,163,2,10,139,0,333,195,9351,102,398,372,665,9,0,6,2,7406,9,0,303,0,2286,0,43,8057,0,13,30,114,0,0,38,2039,0,0,83,0,16,294,73,135,77,624,0,5,883,364,314,42,6377,602,84,257,148,8,448,1,421,25,828,0,276,427,0,9,0,0,1,102,56,1,273,0,29,0,6333,21,4,554,0,0,0,0,22,55,14,14,17,29,0,48,125,106,0,801,229,0,423,0,0,95,7,439,0,244,1886,2,1061,31,1,55,222,113,82,3478,132,0,29,0,281,3,28,0,0,352,2606,14,54,116,95,501,0,5,1029,113,1899,0,0,0,0,66,176,2031,5,3188,19,4,17766,2,6,281,0,4401,0,2,58,586,0,1,148922
103,LCA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,161,0,0,0,0,199,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820,0,17,0,0,0,0,0,0,0,0,0,2299
104,LKA,0,0,0,0,9421,9,0,34344,478,0,0,88,0,0,1291,3,412,8,1,0,6,5,38,17,832,1263,492,0,75158,9084,6,41,2386,0,0,0,0,11,0,0,4,1,2775,16,19201,0,4585,17,4,2,0,2,0,368,2,0,208,30,13863,0,1,39294,0,23,0,8,0,0,2,546,0,0,4,0,0,1188,1,2,1,33,0,20496,526,0,6,64,257,24052,58,364,3791,0,0,0,127,1903,1486,0,1879,89,29,3,0,0,1,6,3,3,0,0,110,236,117,0,0,15,3138,0,0,0,0,3,609,76,9851,4,0,8,0,2,0,5096,4287,4552,5153,0,6,93,5,305,136,12,20,75,281,5,0,7,351,21,0,216,72,0,0,0,5828,3,27,0,0,2,0,0,1,3,6,2868,11,0,0,2,12456,0,0,0,7,20,0,23,102,337,0,0,69781,0,0,10,0,254,0,0,0,471,18,0,399810
