countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
OMN,2,258,0,0,575,0,0,519,25,0,0,20,0,0,28,2,6,0,0,0,0,0,3,0,2,0,7,0,899,97,2,9,0,0,0,2,0,0,0,0,52,1,322,0,49,0,70,1,0,0,0,52,0,0,5,0,111,0,0,236,0,2,0,0,0,0,0,54,0,0,0,0,4,0,0,0,10,0,213,53,6,1,0,29,270,0,453,49,0,36,0,1,21,0,0,236,1,389,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,13,0,0,0,0,0,214,39,27,142,0,4994,0,0,214,0,1,0,1,21,0,0,5,0,7,0,246,5740,0,114,0,1,0,0,0,3,2,0,30,0,0,15,0,0,0,0,0,0,0,29,1,0,0,0,807,0,0,0,2,0,0,52,424,2,16
PAK,0,2462482,0,0,0,0,0,202,2,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,171,1,1,0,0,0,0,0,0,0,0,0,0,0,66,0,109,0,7,0,5,0,0,1,0,0,21,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,278,7,0,17,1,0,14,4,0,0,0,0,0,0,0,8,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,0,45,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,12,1,0,0
PAN,2,0,5,0,0,29,0,14,10,0,0,3,0,1,2,0,0,0,0,0,0,7,37,0,0,0,0,1,312,42,195,1,0,0,1,67,0,0,750,0,2,3,103,0,6,98,0,76,0,0,0,357,0,0,2,0,49,0,0,68,0,0,4,0,0,0,0,57,0,0,0,0,0,27,1,3,7,0,0,7,0,0,0,53,128,8,2,8,0,0,0,0,0,0,0,36,0,0,1,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,5,0,1,0,0,1,0,2,64,0,62,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3907,0,0,25,0,0,0,0,31,0,0
PER,555,11,16,0,5,42742,0,2512,642,0,0,324,5,33,735,7,0,10,0,10,1,2899,5848,1,0,0,3,10,7299,2678,21044,4335,13,7,5,1289,0,5,846,2,16,31,6167,0,279,896,1,2788,0,0,0,19273,0,0,100,0,3702,0,19,194,0,2,32,1,0,0,21,142,0,18,125,4,20,83,47,191,107,0,1,126,6,1,18,1015,22763,2,11,21822,0,0,0,0,5,0,0,40,3,5,0,0,0,1,53,5,2,0,0,4,0,1671,0,12,8,0,0,0,4,0,5,1,2,3,12,0,3,10,949,259,1,265,1,3,946,0,270,0,45,540,168,317,767,3,0,13,203,0,3,3,9,6,0,1,0,0,0,12,36,10,2069,0,0,2,2,0,0,3,0,2,0,37,1,0,7,3,105573,0,0,14277,40,0,0,9,369,5,1
PHL,413,0,151,0,29778,27,0,32590,3576,0,0,896,0,1,0,3,2561,45,0,2,0,11,2,0,2386,0,0,0,79748,2737,87,13948,2,0,1,16,0,0,23,0,1315,72,9774,0,1501,34,169,17,0,0,0,5816,0,0,330,0,2564,104,0,10434,0,16,0,0,0,0,1,2423,0,7,0,0,14561,0,0,0,117,0,0,2957,0,3,294,69,21849,0,1951,53193,0,0,0,444,7625,0,0,1013,0,1034,0,0,0,0,49,1,2315,0,0,2,0,109,0,2,49,0,0,1,2,0,0,0,41794,0,6,1,0,2,2691,1886,0,4130,2,0,136,0,0,194,14,79,629,130,8,0,2588,0,15,0,84788,8,5,1500,0,0,0,0,0,0,6,5,1815,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,302134,0,0,35,710,0,0,7,651,0,0
PNG,0,0,0,0,0,0,0,2506,12,0,0,1,0,0,368,1,0,0,0,0,0,0,0,0,0,0,0,0,107,44,2,2,0,0,0,0,0,0,0,0,2,1,9,0,3,0,0,0,0,0,0,4,0,0,2,0,18,0,0,84,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,2,0,0,16,0,0,0,3,7,0,2,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,6,1,0,270,0,0,0,0,158,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,209,0,0,0,0,10,19,0,33,0,0
POL,0,140,30,0,1,0,0,10,7596,0,0,1105,6,10,26,7,0,0,0,93,0,0,3,0,0,0,5,8,30,1469,8,2,29,10,7,0,0,0,0,0,73,4268,209568,0,1079,5,1,4,0,0,2,1862,68,1,96,0,4201,0,13,128,0,9,47,0,1,0,3,700,0,0,3,0,0,0,292,0,187,0,0,10286,33,1,260,8776,5491,0,17,57,0,0,0,0,1,0,0,72,0,3,0,0,0,0,22,43,0,0,0,3,0,1,0,5,15,0,0,0,1,0,1,2,0,8,6,3,1,0,2736,427,0,18,1,5,0,0,13,0,0,1,0,203,0,1,0,14,0,0,0,47,9,0,0,0,0,0,0,1,1896,70,4098,0,0,4,2,0,0,152,0,0,0,185,0,0,0,0,22,0,0,0,1,0,0,107,1471,1,0
PRI,0,2,0,0,0,0,0,14,14,0,0,4,0,0,34,0,0,0,0,0,0,3,1,0,0,0,0,0,29,12,120,0,0,0,0,0,0,0,0,0,0,2,667,0,0,789,0,34,0,0,0,49,0,0,0,0,37,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,264,2,0,0,3,3,0,0,14,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,22,0,18,0,0,0,0,11,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,70691,0,0,0,0,0,0,0,26,0,0
PRK,0,0,0,0,0,0,0,34,226,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,12,0,0,0,0,0,11,0,0,0,0,2,10,257,0,28,0,0,21,0,0,0,0,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,11,0,16,0,7698,0,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,4,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,14,1,1587,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,131,0,0,0,2,0,10,0,0,0,725,0,1,0,0,0,0,34,0,0
PRT,0,0,72554,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,5,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,758,0,35,0,0,0,0,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2869,0,0
