countries,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
NPL,0,0,0,0,3196,2,0,20069,229,0,0,780,0,0,8121,22,421,0,0,0,0,0,37,0,0,6610,1,0,2448,489,4,0,0,0,0,2,0,0,3,0,26,138,1277,0,1256,2,0,3,3,0,0,2085,0,0,886,0,665,0,0,36,0,0,0,0,0,0,0,34,0,0,0,0,2366,0,0,0,37,0,10998,63,0,0,72,0,960,0,22,45,4,0,0,0,4533,196,0,0,0,0,0,0,0,1,11,13,25,0,0,1,0,7,0,0,1,4,1,0,0,0,6,0,72245,0,0,0,0,1,867,655,0,324,0,0,2,0,0,0,55,0,2,373,0,0,831,0,31,0,1543,0,0,47,0,0,0,0,0,1,4,6,502,0,0,0,0,32,0,0,0,0,0,8,0,0,0,0,48919,1,0,2,849,0,0,0,61,0,0
NZL,0,0,0,39,0,0,0,123818,162,1,10,24,0,0,0,19,0,0,0,1,0,14,149,0,7891,2,0,0,1950,476,11,7,0,0,0,15,0,0,2,0,34,233,551,0,220,0,4,79,8,0,0,448,0,0,95,314,543,0,0,13766,0,0,0,0,0,0,0,55,0,0,0,0,151,0,43,0,98,0,0,237,0,0,22,14,474,0,75,329,17,0,0,0,258,0,0,20,16,0,0,0,0,3,7,7,0,0,0,0,0,9,14,0,4,0,0,0,0,0,0,0,10,0,25,0,0,1,488,236,0,0,0,0,0,0,118,0,72,0,0,7,3,6,4,0,11,5,0,0,0,793,2,0,0,0,0,0,36,28,405,12,120,0,0,43,3,0,0,0,0,213,3,3,3,0,2665,0,0,3,0,107,0,0,986,0,0
OMN,2,0,0,0,4256,0,0,1208,25,0,0,15,0,0,0,5,449,0,0,0,0,2,20,1,3,0,7,1,901,91,9,8,0,0,3,5,0,0,2,2,78,5,66,0,25,0,290,12,360,0,0,98,0,1,13,0,124,0,0,106,0,1,0,0,0,0,2,8,0,0,0,0,3,0,0,0,17,32,0,43,0,1,1,65,154,1,406,7,0,0,0,0,13,23,0,66,0,563,0,0,0,2,1,1,0,1,0,4,0,1,0,0,3,0,0,0,0,0,2,0,1,0,8,0,1,0,225,45,0,353,0,0,3,0,97,0,29,0,0,5,0,0,666,5,45,10,56,0,0,2,0,0,0,0,0,6,6,2,102,0,318,19,0,3,0,0,0,0,0,67,1,3,0,0,730,0,0,1,1,0,0,2,270,0,0
PAK,0,19809,0,0,494846,0,1,26633,3118,0,0,3313,0,0,614,88,61442,7,0,36,2,34,125,5,54,153,289,0,88678,2941,62,3049,0,0,0,40,0,0,3,0,296,661,33568,0,7465,77,371,71,462,0,0,39485,0,0,1763,819,9579,0,0,167249,0,44,0,1,0,0,0,16439,0,10,0,0,2420,0,0,0,301,1928,104747,1709,113575,115,23,558,39741,10,745,3618,0,3,0,0,4016,54274,1,24,14,634,10,47,0,36,9,31,0,0,14,1306,0,78,0,0,51,849,10,210,0,0,62,14,13975,0,0,0,0,1,8139,11754,4043,2185,24916,0,45,16,172,1,255,0,131,1231,8,0,122996,0,523,5,285441,0,0,59649,55,18,1,0,0,0,62,15,10318,0,333,0,0,5714,34,0,1,2,0,2523,492,510,0,0,147652,55,0,9,173,0,0,3,6258,8,0
PAN,0,0,2,1,0,0,0,64,17,1,1,4,0,0,0,5,1,13,0,0,0,49,15,0,2,0,0,0,721,154,65,0,0,0,0,674,0,0,1288,3,9,32,106,0,27,105,1,709,0,0,2,1770,0,0,10,0,165,0,0,69,0,0,0,0,0,0,0,41,2,58,0,0,0,35,0,0,13,0,0,5,0,0,4,98,423,20,2,0,66,0,1,0,0,0,0,0,5,0,8,0,0,2,1,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,25,0,11,0,0,0,0,8,0,21,0,0,2,11,0,0,0,5,0,0,0,0,0,0,0,60,0,0,0,11,2,86,0,2,0,0,0,0,1,0,0,0,14,0,0,3,0,2863,3,0,92,0,0,0,0,13,0,0
PER,598,0,4,1,19,83813,0,5536,897,2,8,751,1,1,348,37,5,179,0,6,1,7843,6876,1,13,0,3,4,13168,5241,87124,10043,0,1,15,3357,0,2,1327,28,27,291,8117,0,668,1079,7,15050,6,0,0,136231,2,0,341,0,6229,0,0,162,0,1,0,1,0,0,13,205,0,196,154,3,8,111,39,285,204,3,0,111,0,0,60,2229,68756,2,2,27110,177,0,0,0,17,1,0,0,6,1,1,0,0,12,57,10,1,0,2,8,0,2731,0,0,9,0,1,0,4,1,2,0,1,0,43,0,0,61,2035,903,0,345,0,0,1253,0,13,0,179,0,414,229,865,0,6,9,166,3,1,0,0,8,0,0,95,0,0,11,59,35,4246,0,3,0,0,3,0,0,0,1,1,210,6,2,66,853,194181,2,0,20361,57,1,0,0,184,0,0
PHL,263,0,913,0,171615,73,0,66058,3822,26,6,1176,0,0,51,58,27438,428,0,7,7,33,309,15,28,4,73,3,103524,4319,167,34361,0,1,52,65,0,0,19,0,2614,396,18511,0,4380,34,478,195,482,0,0,17314,3,0,1163,14,5886,0,1,47678,2,14,0,1,0,0,0,1458,0,19,3,7,24714,1,3,2,255,431,171,1734,2,1,734,646,47090,16,47,47191,3167,0,29,0,13533,14727,10,0,145,397,4,0,0,32,73,23,4763,0,8,17,44,361,3,0,59,46,104,0,2,0,100,0,198,3,1,0,0,4,3577,6530,0,9138,4148,2,478,0,0,94,450,0,1810,433,16,1,44491,0,384,7,111629,0,0,5000,0,0,4,0,0,17,61,51,4481,1,0,0,0,793,0,22,0,4,0,562,48,18,5,2,373024,163,2,81,105,2,0,0,3259,3,0
PNG,0,0,0,0,0,0,0,5462,13,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,54,55,1,7,0,0,0,0,0,0,0,0,3,2,8,0,4,0,0,2,0,0,0,4,0,0,5,1,6,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,5,0,0,0,4,63,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5,0,261,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,325,0,0,1,0,17,0,0,21,0,0
POL,0,0,0,23,0,0,0,1,89,8,4,1832,0,0,0,76,0,0,0,76,0,0,1,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,7,2601,15724,0,880,0,3,2,0,0,2,1899,12,0,116,0,39,0,0,13007,0,0,0,0,0,0,0,7,0,0,0,0,0,0,23,0,207,0,0,0,0,0,187,0,4321,0,0,0,323,0,0,0,0,0,0,0,12,0,0,0,0,4,100,3,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,2558,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,288,22,1217,0,0,0,0,1,0,0,0,0,0,61,0,1,341,0,1,0,0,0,0,0,0,0,24,0,0
PRI,59,0,1,1,216,7,0,1151,188,0,0,184,0,0,0,43,31,6,0,0,65,171,462,79,5,1,25,10,1038,662,132,411,0,0,10,1075,0,12,184,16,51,232,1315,0,161,2979,50,2416,45,0,0,3543,2,0,89,0,752,0,2,1850,0,10,0,18,0,1,8,48,47,137,1,47,5,60,16,835,165,36,0,131,0,0,29,1616,2097,189,0,277,11,0,0,0,627,1,0,0,0,27,50,0,2,33,18,18,0,0,6,5,0,9877,1,0,10,0,11,0,5,0,2,0,0,0,10,0,0,5,260,210,0,298,0,0,474,0,9,2,409,0,22,108,56,2,60,2,151,4,2,0,0,220,0,0,46,0,0,17,74,17,263,5,0,0,3,0,1,0,0,122,0,332,27,22,4,65,104291,2,27,1246,17,0,0,0,345,1,0
